rid,fcid,service,date,need,entity,family_of_missing,survivor_of_detention,primary_torture,secondary_torture,sexual_violation_a,sexual_violation_p,hrd,journalist,wov,stgbv,lgbti,other,sex,age
R0888,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Female,29
R0887,,cm,2024-05-06,MHPSS,TMH,,,,,,,,,,,,,Male,68
R1199,,cm,2024-05-07,MHPSS,TMH,,,,,,,,,,,,,Male,36
R1210,,cm,2024-05-07,MHPSS,TMH,,,,,,,,,,,,,Male,65
R1207,,cm,2024-05-07,MHPSS,TMH,,,,,,,,,,,,,Male,46
R1175,,cm,2024-05-07,MHPSS,TMH,,,,,,,,,,,,,Female,50
R0783,,cm,2024-05-07,MHPSS,TMH,,,,,,,,,,,,,Female,33
R0734,,cm,2024-03-29,Cash assistance,أورنج,,,,,,,,,,,,,,
R0917,,cm,2024-03-29,Cash assistance,أورنج,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Male,26
R0799,8110080024.0,cm,2024-03-29,Cash assistance,أورنج,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Female,36
R0797,8110080023.0,cm,2024-03-29,Cash assistance,أورنج,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,48
R0382,8110020105.0,cm,2024-03-29,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Male,58
R0192,8110020071.0,cm,2024-03-29,Cash assistance,أورنج,No,No,No,No,,,,,Yes,No,No,No,Female,45
R0113,8110020060.0,cm,2024-03-29,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,42
R0587,8110080015.0,cm,2024-03-29,Cash assistance,أورنج,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Female,35
R0092,8110050011.0,cm,2024-03-29,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,46
R0873,,cm,2024-03-29,Cash assistance,أورنج,,,,,,,,,,,,,,
R0104,8110050016.0,cm,2024-03-29,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,39
R0393,8110050086.0,cm,2024-05-10,Legal assistance,whh,Yes,Yes,Yes,Yes,,,,,Yes,Yes,No,No,Female,48
R0004,,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,Yes,No,,,,,Yes,No,No,No,,
R0007,8110020016.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,No,Yes,,,,,Yes,No,No,No,,
R0005,8110020021.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,Yes,Yes,No,,,,,Yes,No,No,No,,
R0013,8110020015.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,No,Yes,,,,,Yes,No,No,No,,
R0022,8110020032.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,Yes,Yes,,,,,Yes,No,No,No,,
R0029,8110020036.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,No,No,,,,,Yes,No,No,No,Female,46
R0062,8110020048.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Female,48
R0065,8110060004.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,Yes,Yes,,,,,Yes,No,No,No,Female,56
R0109,8110050020.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,Yes,Yes,,,,,Yes,No,No,No,Female,55
R0123,8110020069.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,No,No,,,,,Yes,No,No,No,Female,51
R0126,8110020064.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,No,Yes,,,,,Yes,No,No,No,Female,46
R0205,8110070003.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,51
R0255,8110070004.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,Yes,Yes,,,,,Yes,No,No,No,Female,45
R0334,8110020081.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,61
R0261,8110020088.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,37
R0231,8110050051.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,26
R0390,8110050068.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,54
R0333,8110020107.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Female,41
R0510,8110050090.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,60
R0552,8110050085.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,Yes,Yes,Yes,,,,,Yes,Yes,No,No,Female,37
R0716,8110080013.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Female,29
R1282,8110110019.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,39
R0616,8110110009.0,cm,2024-05-24,Cash assistance,قطر الخيرية,,,,,,,,,,,,,,
R0387,8110050075.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,Yes,Yes,,,,,Yes,No,No,No,Female,34
R0353,8110020099.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,Yes,Yes,Yes,,,,,Yes,No,No,No,Female,41
R0518,8110090004.0,cm,2024-05-24,Cash assistance,قطر الخيرية,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,44
R0298,8110020089.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,36
R0460,8110090003.0,cm,2024-05-24,Cash assistance,قطر الخيرية,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,27
R0082,,cm,2024-05-31,MHPSS,سامز,,,,,,,,,,,,,,
